candidate_size,repetition,original_length,reconstructed_length,spectrum_size,levenshtein_similarity,execution_time
5,1,300,300,292,43.333333333333336,0.11911320686340332
5,2,300,300,292,48.33333333333333,0.010684967041015625
5,3,300,300,292,48.66666666666667,0.0587000846862793
10,1,300,300,292,50.66666666666666,0.0651395320892334
10,2,300,300,292,46.333333333333336,0.009307622909545898
10,3,300,300,292,46.333333333333336,0.04385948181152344
15,1,300,300,292,47.333333333333336,0.03716087341308594
15,2,300,300,292,42.333333333333336,0.14457082748413086
15,3,300,300,292,54.333333333333336,0.009867668151855469
20,1,300,300,292,50.0,0.007349729537963867
20,2,300,300,292,50.33333333333334,0.014318466186523438
20,3,300,300,292,46.333333333333336,0.09562826156616211
25,1,300,300,292,45.666666666666664,0.027383089065551758
25,2,300,300,292,51.33333333333333,0.029567241668701172
25,3,300,300,292,48.33333333333333,0.02012801170349121
